metric,mean,std
samples,5532.0,0.0
positive_samples,1099.0,0.0
negative_samples,4433.0,0.0
predicted_positive,1064.0,1.8708286933869707
accuracy,0.988177874186551,0.0002741458945788483
balanced_accuracy,0.9754466408873641,0.00021203082913004228
precision,0.9857163672111687,0.0015172902485779361
recall,0.954322111010009,0.0004069277484075837
f1,0.9697646253602172,0.0006776036784462117
true_negative,4417.8,1.6431676725154984
false_positive,15.2,1.6431676725154984
false_negative,50.2,0.4472135954999579
true_positive,1048.8,0.4472135954999579
pr_auc,0.9938135153559438,0.00022933938078210456
roc_auc,0.998363214759352,6.991862900651605e-05
