policy,seed,time_bin,day,drone_id,route,pickup,route_distance,energy_used,battery_remaining,active_warehouse_count,visited_warehouse_count,unvisited_warehouse_count,objective_value
nearest_first,42,7104,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7105,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7106,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7107,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7108,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7109,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7110,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7111,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7112,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7113,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7114,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7115,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7116,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7117,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7118,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7119,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7120,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7121,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7122,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7123,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7124,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7125,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7126,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7127,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7128,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7129,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7130,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7131,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7132,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7133,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7134,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7135,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7136,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7137,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7138,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7139,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7140,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7141,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7142,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7143,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7144,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7145,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7146,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7147,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7148,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7149,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7150,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7151,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7152,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7153,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7154,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7155,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7156,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7157,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7158,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7159,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7160,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7161,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7162,75,1,"[0, 1, 0]","{""1"": 30.0}",10.0,10.0,20.0,1,1,0,10.0
nearest_first,42,7163,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
nearest_first,42,7164,75,1,"[0, 0]",{},0.0,0.0,30.0,0,0,0,0.0
