arrival_time,day,hour,minute,time_bin_15m,dock,sku,batch,week
86466,2,0,1,96,3,59,3,1
86469,2,0,1,96,2,68,4,1
86488,2,0,1,96,1,20,2,1
86518,2,0,1,96,4,18,1,1
86532,2,0,2,96,3,59,3,1
86538,2,0,2,96,2,68,4,1
86576,2,0,2,96,1,20,2,1
86598,2,0,3,96,3,59,3,1
86607,2,0,3,96,2,68,4,1
86636,2,0,3,96,4,18,1,1
86664,2,0,4,96,1,20,2,1
86664,2,0,4,96,3,59,3,1
86676,2,0,4,96,2,68,4,1
86730,2,0,5,96,3,59,3,1
86745,2,0,5,96,2,68,4,1
86752,2,0,5,96,1,20,2,1
86754,2,0,5,96,4,18,1,1
86796,2,0,6,96,3,59,3,1
86814,2,0,6,96,2,68,4,1
86840,2,0,7,96,1,20,2,1
86862,2,0,7,96,3,59,3,1
86872,2,0,7,96,4,18,1,1
86883,2,0,8,96,2,68,4,1
86928,2,0,8,96,1,20,2,1
86928,2,0,8,96,3,59,3,1
86952,2,0,9,96,2,68,4,1
86990,2,0,9,96,4,18,1,1
86994,2,0,9,96,3,59,3,1
87016,2,0,10,96,1,20,2,1
87021,2,0,10,96,2,68,4,1
87060,2,0,11,96,3,59,3,1
87090,2,0,11,96,2,68,4,1
87104,2,0,11,96,1,20,2,1
87108,2,0,11,96,4,18,1,1
87126,2,0,12,96,3,59,3,1
87159,2,0,12,96,2,68,4,1
87192,2,0,13,96,1,20,2,1
87192,2,0,13,96,3,59,3,1
87226,2,0,13,96,4,18,1,1
87228,2,0,13,96,2,68,4,1
87258,2,0,14,96,3,59,3,1
87280,2,0,14,96,1,20,2,1
87297,2,0,14,96,2,68,4,1
87324,2,0,15,97,3,59,3,1
87344,2,0,15,97,4,18,1,1
87366,2,0,16,97,2,68,4,1
87368,2,0,16,97,1,20,2,1
87390,2,0,16,97,3,59,3,1
87435,2,0,17,97,2,68,4,1
87456,2,0,17,97,1,20,2,1
87456,2,0,17,97,3,59,3,1
87462,2,0,17,97,4,18,1,1
87504,2,0,18,97,2,68,4,1
87522,2,0,18,97,3,59,3,1
87544,2,0,19,97,1,20,2,1
87573,2,0,19,97,2,68,4,1
87580,2,0,19,97,4,18,1,1
87588,2,0,19,97,3,59,3,1
87632,2,0,20,97,1,20,2,1
87642,2,0,20,97,2,68,4,1
87654,2,0,20,97,3,59,3,1
87698,2,0,21,97,4,18,1,1
87711,2,0,21,97,2,68,4,1
87720,2,0,22,97,1,20,2,1
87720,2,0,22,97,3,59,3,1
87780,2,0,23,97,2,68,4,1
87786,2,0,23,97,3,59,3,1
87808,2,0,23,97,1,20,2,1
87816,2,0,23,97,4,18,1,1
87849,2,0,24,97,2,68,4,1
87852,2,0,24,97,3,59,3,1
87896,2,0,24,97,1,20,2,1
87918,2,0,25,97,2,68,4,1
87918,2,0,25,97,3,59,3,1
87934,2,0,25,97,4,18,1,1
87984,2,0,26,97,1,20,2,1
87984,2,0,26,97,3,59,3,1
87987,2,0,26,97,2,68,4,1
88050,2,0,27,97,3,59,3,1
88052,2,0,27,97,4,18,1,1
88056,2,0,27,97,2,68,4,1
88072,2,0,27,97,1,20,2,1
88116,2,0,28,97,3,59,3,1
88125,2,0,28,97,2,68,4,1
88160,2,0,29,97,1,20,2,1
88170,2,0,29,97,4,18,1,1
88182,2,0,29,97,3,59,3,1
88194,2,0,29,97,2,68,4,1
88248,2,0,30,98,1,20,2,1
88248,2,0,30,98,3,59,3,1
88263,2,0,31,98,2,68,4,1
88288,2,0,31,98,4,18,1,1
88314,2,0,31,98,3,59,3,1
88332,2,0,32,98,2,68,4,1
88336,2,0,32,98,1,20,2,1
88380,2,0,33,98,3,59,3,1
88401,2,0,33,98,2,68,4,1
88406,2,0,33,98,4,18,1,1
88424,2,0,33,98,1,20,2,1
88446,2,0,34,98,3,59,3,1
88470,2,0,34,98,2,68,4,1
88512,2,0,35,98,1,20,2,1
88512,2,0,35,98,3,59,3,1
88524,2,0,35,98,4,18,1,1
88539,2,0,35,98,2,68,4,1
88578,2,0,36,98,3,59,3,1
88600,2,0,36,98,1,20,2,1
88608,2,0,36,98,2,68,4,1
88642,2,0,37,98,4,18,1,1
88644,2,0,37,98,3,59,3,1
88677,2,0,37,98,2,68,4,1
88688,2,0,38,98,1,20,2,1
88710,2,0,38,98,3,59,3,1
88746,2,0,39,98,2,68,4,1
88760,2,0,39,98,4,18,1,1
88776,2,0,39,98,1,20,2,1
88776,2,0,39,98,3,59,3,1
88815,2,0,40,98,2,68,4,1
88842,2,0,40,98,3,59,3,1
88864,2,0,41,98,1,20,2,1
88878,2,0,41,98,4,18,1,1
88884,2,0,41,98,2,68,4,1
88908,2,0,41,98,3,59,3,1
88952,2,0,42,98,1,20,2,1
88953,2,0,42,98,2,68,4,1
88974,2,0,42,98,3,59,3,1
88996,2,0,43,98,4,18,1,1
89022,2,0,43,98,2,68,4,1
89040,2,0,44,98,1,20,2,1
89040,2,0,44,98,3,59,3,1
89091,2,0,44,98,2,68,4,1
